Id,X_coor,Y_coor,ntu_lab,tsm_lab,label,rededge_me,red_mean,nir_mean,ndwi_mean,ndvi_mean,ndre_mean,re_fnu_mea,r_re_mean,r_nir_mean,nir_fnu_me,g_nir_mean,red_fnu_me,re_nir_mea,green_mean
1,295358.2873,5708342.792,16,11,w1,0.071409254,0.063151358,0.08034716,-0.201781806,0.124469833,0.05902002,115.5876585,0.885370844,0.787178277,162.3283735,0.665101923,26.78666399,0.888660518,0.05334623
2,295427.8637,5708361.33,14,9.2,w2,0.069880489,0.064402358,0.079619811,-0.185902534,0.108450036,0.065597203,112.2151243,0.926507439,0.812739397,160.5471689,0.688060481,27.51222701,0.877007158,0.054504836
3,295503.0687,5708339.711,19,9.4,w3,0.055259871,0.060246971,0.0637785,-0.073637331,0.028490879,0.07157312,79.02299961,1.090725567,0.944972644,113.6700149,0.862919837,24.30971186,0.86646287,0.055024708
4,295581.4865,5708337.733,17,15,w4,0.088571701,0.04939122,0.105838976,-0.361564516,0.342271985,0.088360955,183.930195,0.605891309,0.508247186,311.5048624,0.483320279,18.22017125,0.83784032,0.04719144
5,295630.7651,5708286.269,14,8.2,w5,0.082507874,0.054097501,0.099123506,-0.318202752,0.290172496,0.093699637,153.6243085,0.676551717,0.559423123,246.5611828,0.520022986,21.03245976,0.829263663,0.050713605
6,295701.1743,5708309.256,15,8.8,w6,0.0700079,0.065097144,0.084098201,-0.238423434,0.12900941,0.091876031,112.164647,0.929596767,0.773657177,175.1487636,0.615250642,27.72029739,0.831909321,0.051682184
7,295770.6067,5708281.694,11,7.6,w7,0.074936102,0.056963401,0.092841752,-0.298072386,0.238857372,0.107747123,126.693481,0.77456119,0.623255119,211.5390927,0.543238209,22.62466262,0.80579014,0.04987719
8,295821.1946,5708255.093,16,10,w8,0.074974713,0.068574412,0.09159075,-0.271434552,0.146367886,0.100598992,125.8914447,0.921470075,0.753451847,204.6232054,0.575187804,30.61643028,0.817498676,0.0523342
9,295846.4463,5708185.726,15,9,w9,0.088650361,0.077692418,0.107243363,-0.303910519,0.165932871,0.096098984,170.9447616,0.872347696,0.720744917,283.3411763,0.534583922,39.23478824,0.824877803,0.057049931
10,295886.8525,5708137.446,14,7.6,w10,0.072736315,0.061195432,0.090497257,-0.249964275,0.191183773,0.109626981,120.1453536,0.85591229,0.685480708,201.0033891,0.602557793,25.02186966,0.80257217,0.053999226
